Status	Age	3275.94cm	2922.99cm	2853.55cm	1635.56cm	1540.09cm	1457.15cm	1379.04cm	1155.31	1076.23cm	1028.97cm	525.57cm
SF	3	0.08742	0.12028	0.09186	0.12247	0.10665	0.09256	0.09736	0.11556	0.16601	0.20735	0.19992
SF	3	0.0871	0.11758	0.09059	0.14499	0.13103	0.10406	0.10939	0.12027	0.16513	0.19937	0.2045
SF	3	0.08815	0.15892	0.11932	0.15357	0.13643	0.11837	0.12038	0.14699	0.19749	0.23781	0.23758
SF	3	0.09774	0.11531	0.0912	0.11253	0.10007	0.08822	0.09276	0.10368	0.16201	0.20314	0.18292
SF	3	0.08406	0.11363	0.08871	0.10984	0.09857	0.08661	0.09136	0.09969	0.15164	0.18371	0.17076
SF	3	0.06643	0.08082	0.06458	0.10281	0.09024	0.07243	0.07553	0.0869	0.13267	0.15936	0.16243
SF	3	0.08112	0.12968	0.09791	0.12052	0.10594	0.09374	0.09611	0.1159	0.15941	0.19411	0.18956
SF	3	0.10605	0.15812	0.1174	0.13263	0.11412	0.10918	0.11325	0.14972	0.20531	0.26185	0.24645
SF	3	0.10602	0.14109	0.10781	0.17066	0.15307	0.12011	0.12374	0.13517	0.19061	0.22992	0.23828
SF	3	0.08398	0.08473	0.06798	0.13031	0.11928	0.08812	0.09395	0.0925	0.13852	0.16755	0.18092
SF	3	0.08734	0.14955	0.11161	0.13567	0.11967	0.10785	0.11012	0.14086	0.1853	0.225	0.22154
SF	3	0.07551	0.1035	0.0807	0.13039	0.12029	0.09598	0.09788	0.10346	0.14027	0.1609	0.1754
SF	3	0.08447	0.13826	0.10453	0.13983	0.12637	0.10741	0.11082	0.13124	0.17266	0.20566	0.21698
SF	3	0.09239	0.12195	0.09397	0.13587	0.1216	0.10113	0.10664	0.11921	0.1759	0.21687	0.2093
SF	3	0.09498	0.16083	0.11968	0.16513	0.14955	0.12452	0.1262	0.14881	0.19053	0.22308	0.23857
SF	3	0.07666	0.12482	0.09508	0.13392	0.1207	0.1009	0.10144	0.11858	0.15875	0.18453	0.19301
SF	3	0.08449	0.09197	0.07346	0.11886	0.10816	0.08391	0.08943	0.09132	0.14316	0.17637	0.17872
SF	3	0.10161	0.1695	0.12447	0.1577	0.14171	0.12141	0.12283	0.14228	0.18691	0.21887	0.21982
SF	3	0.08409	0.14784	0.10976	0.14086	0.12869	0.1071	0.10948	0.11968	0.1678	0.18807	0.19397
SF	3	0.06747	0.13447	0.09993	0.12546	0.11381	0.09876	0.10122	0.11592	0.16583	0.19171	0.18807
SF	3	0.07726	0.10856	0.08286	0.12149	0.10939	0.09141	0.09727	0.10737	0.16111	0.19039	0.18745
BF	5	0.06936	0.11043	0.08571	0.14428	0.13535	0.09809	0.09486	0.1013	0.11953	0.12864	0.15763
BF	5	0.03006	0.12012	0.09	0.07988	0.08029	0.07354	0.06378	0.09005	0.07633	0.07318	0.10536
BF	5	0.03666	0.13224	0.09927	0.08996	0.08893	0.08157	0.07238	0.09969	0.08914	0.09164	0.12215
BF	5	0.04651	0.06667	0.05256	0.10214	0.09814	0.07002	0.0707	0.06802	0.08299	0.08639	0.12029
BF	5	0.06953	0.17359	0.12645	0.14654	0.1464	0.11616	0.10426	0.13348	0.13503	0.13887	0.20881
BF	5	0.11753	0.16104	0.11637	0.20703	0.20249	0.13151	0.12407	0.13314	0.1571	0.16574	0.26464
BF	5	0.06213	0.13123	0.09772	0.14118	0.13494	0.10177	0.09479	0.11325	0.11997	0.12385	0.16914
BF	5	0.0722	0.13074	0.0995	0.14648	0.13791	0.10408	0.09816	0.11181	0.11945	0.1254	0.16314
BF	5	0.0519	0.12085	0.09015	0.11405	0.10874	0.08669	0.08048	0.09808	0.10193	0.10437	0.13488
BF	5	0.07889	0.17667	0.12857	0.15021	0.15394	0.11914	0.10471	0.13475	0.13342	0.13718	0.20317
BF	5	0.09551	0.13747	0.10231	0.19057	0.19032	0.12606	0.12072	0.11745	0.13332	0.13455	0.21242
BF	5	0.14729	0.1496	0.10855	0.26057	0.26247	0.14921	0.14453	0.12843	0.15825	0.16105	0.307
BF	5	0.07863	0.14649	0.10991	0.1661	0.1609	0.11668	0.11114	0.12114	0.13221	0.13623	0.18565
BF	5	0.073	0.12707	0.09586	0.15025	0.14543	0.10642	0.10102	0.10819	0.11552	0.11713	0.16435
BF	5	0.06478	0.09045	0.06957	0.12652	0.11966	0.0862	0.08626	0.082	0.10115	0.10297	0.139
BF	5	0.07859	0.1549	0.11579	0.16336	0.15858	0.11749	0.11151	0.12628	0.14491	0.15364	0.18366
BF	5	0.03992	0.05125	0.04345	0.09376	0.09334	0.0661	0.06908	0.06128	0.08633	0.09671	0.11449
BF	5	0.06284	0.0646	0.05457	0.11884	0.11885	0.08029	0.08493	0.07019	0.10056	0.11123	0.13788
BF	5	0.06502	0.07803	0.06339	0.12335	0.12253	0.08537	0.08933	0.07742	0.10073	0.11086	0.13905
BF	5	0.07327	0.06751	0.05664	0.14333	0.1386	0.08979	0.0945	0.0759	0.10615	0.11542	0.14803
BF	5	0.09268	0.11331	0.09051	0.17677	0.1731	0.11914	0.12105	0.10951	0.14989	0.16864	0.19807
BF	5	0.072	0.07621	0.06372	0.1417	0.13967	0.09474	0.09934	0.08447	0.12414	0.14209	0.17302
BF	5	0.05477	0.06444	0.05447	0.10994	0.10822	0.07826	0.08117	0.0709	0.10238	0.118	0.13468
BF	5	0.08454	0.09716	0.07833	0.15786	0.15522	0.10537	0.10829	0.09386	0.12946	0.14173	0.17196
BF	5	0.08261	0.08264	0.0667	0.16823	0.16314	0.10986	0.1133	0.09517	0.12744	0.13999	0.18354
BF	5	0.05279	0.06281	0.05354	0.09413	0.09135	0.07143	0.07482	0.0688	0.10787	0.13261	0.1389
BF	5	0.08471	0.09662	0.07972	0.13114	0.12338	0.09396	0.09684	0.09369	0.14904	0.18452	0.18198
BF	5	0.04986	0.05517	0.04601	0.10754	0.10523	0.07206	0.07535	0.06628	0.09518	0.10801	0.13019
BF	5	0.07438	0.0964	0.07667	0.12867	0.12161	0.09298	0.09562	0.09217	0.13781	0.16478	0.17959
GR	5	0.09152	0.20658	0.153	0.14204	0.12609	0.12614	0.12389	0.17046	0.21999	0.26723	0.24945
GR	5	0.06019	0.1019	0.07915	0.11574	0.10937	0.08709	0.0901	0.09242	0.1138	0.12649	0.14291
GR	5	0.07705	0.15968	0.1213	0.10823	0.09655	0.09884	0.09806	0.13022	0.16672	0.20023	0.19212
GR	5	0.07834	0.1955	0.14534	0.12796	0.11556	0.11849	0.11256	0.15911	0.19099	0.22587	0.22277
GR	5	0.06158	0.14458	0.10878	0.10471	0.09311	0.09169	0.08738	0.12471	0.14274	0.16713	0.16445
GR	5	0.07688	0.15077	0.11362	0.09759	0.08681	0.09501	0.09387	0.12843	0.15933	0.19601	0.18883
GR	5	0.0767	0.11499	0.08984	0.10539	0.09361	0.08476	0.08657	0.10828	0.15182	0.19151	0.17518
GR	5	0.08199	0.15335	0.11631	0.13416	0.12102	0.10793	0.10688	0.13405	0.1699	0.20598	0.20601
GR	5	0.07046	0.1752	0.13253	0.12168	0.11065	0.10967	0.10254	0.14169	0.16642	0.19432	0.19809
GR	5	0.08705	0.17461	0.13318	0.17421	0.16788	0.13859	0.13693	0.14663	0.17739	0.1966	0.22014
GR	5	0.04258	0.11174	0.08585	0.07984	0.07256	0.07411	0.07231	0.10031	0.11815	0.13916	0.13786
GR	5	0.05605	0.15642	0.11955	0.1229	0.12533	0.11408	0.11589	0.12971	0.1465	0.15497	0.18082
GR	5	0.07471	0.17637	0.13188	0.12663	0.11624	0.11401	0.10907	0.14419	0.17526	0.20335	0.19874
GR	5	0.07982	0.15303	0.11613	0.14121	0.12983	0.11012	0.10809	0.13055	0.17214	0.20478	0.21031
GR	5	0.07108	0.15419	0.11864	0.13494	0.1274	0.11381	0.1123	0.12946	0.16313	0.19151	0.20203
GR	5	0.0527	0.08904	0.0687	0.08653	0.0775	0.06812	0.06752	0.08413	0.10948	0.13377	0.12938
GR	5	0.05859	0.10962	0.08423	0.09484	0.0864	0.08118	0.08102	0.10262	0.12765	0.15337	0.15832
GR	5	0.06093	0.15149	0.11227	0.1007	0.08951	0.09174	0.08716	0.12443	0.14589	0.17227	0.16541
GR	5	0.05783	0.12585	0.09572	0.10267	0.09349	0.08867	0.08833	0.11384	0.14313	0.16843	0.16771
