Species	Status	Real age	Age	time stored	3856	3400	3276	2923	2854	1901	1746	1636	1539	1457	1307	1154	1076	1027	880	526	401
AR	SF	1	AR	1	5	0.01408	0.04945	0.0676	0.09106	0.0722	0.01621	0.03854	0.10765	0.10212	0.08006	0.07575	0.08547	0.12309	0.14839	0.07266	0.17012	0.15121
AR	SF	1	AR	1	5	0.00905	0.03033	0.04186	0.0435	0.03576	0.00943	0.01376	0.07701	0.07741	0.05632	0.05448	0.05415	0.08061	0.09339	0.04954	0.12395	0.11173
AR	SF	1	AR	1	5	0.01221	0.04455	0.06149	0.08795	0.06781	0.01369	0.03562	0.09702	0.09294	0.07246	0.06892	0.0757	0.11956	0.13914	0.06635	0.15838	0.14438
AR	SF	1	AR	1	5	0.01461	0.04597	0.06295	0.09412	0.0721	0.01474	0.03717	0.10033	0.09652	0.07567	0.07207	0.07922	0.12965	0.14903	0.06969	0.17006	0.15579
AR	SF	1	AR	1	5	0.01123	0.05847	0.08237	0.11178	0.08904	0.01387	0.0504	0.14543	0.13775	0.10778	0.10083	0.11619	0.1553	0.18782	0.09038	0.21471	0.19738
AR	SF	1	AR	1	5	0.01295	0.08372	0.11837	0.09093	0.07442	0.01273	0.01872	0.17078	0.15911	0.1078	0.10065	0.09979	0.14927	0.18133	0.0869	0.21562	0.19547
AR	SF	1	AR	1	5	0.01232	0.05145	0.07202	0.06957	0.0585	0.01218	0.0178	0.11005	0.10631	0.07948	0.07411	0.07066	0.09879	0.12014	0.06224	0.1524	0.13578
AR	SF	1	AR	1	5	0.00957	0.09617	0.13539	0.15363	0.11971	0.01522	0.06454	0.20143	0.18263	0.14009	0.13154	0.15999	0.23238	0.29717	0.1242	0.31027	0.27453
AR	SF	1	AR	1	5	0.01281	0.06241	0.0863	0.08643	0.071	0.01199	0.02396	0.12446	0.12199	0.08996	0.08392	0.08334	0.10928	0.13373	0.07096	0.16901	0.15437
AR	SF	1	AR	1	5	0.01405	0.07168	0.10106	0.11077	0.08908	0.01568	0.03563	0.14922	0.14005	0.10571	0.09813	0.10198	0.14356	0.17817	0.0855	0.21081	0.18664
AR	SF	1	AR	1	5	0.00817	0.04899	0.06744	0.06094	0.05141	0.01088	0.02238	0.08788	0.08053	0.06037	0.05878	0.0638	0.09048	0.11577	0.05706	0.12535	0.11487
AR	SF	1	AR	1	5	0.01147	0.04623	0.06531	0.06155	0.05266	0.01265	0.01873	0.11131	0.10774	0.07698	0.07269	0.07142	0.10266	0.12578	0.06366	0.15915	0.14276
AR	SF	1	AR	1	5	0.01149	0.08872	0.12125	0.12802	0.10212	0.01475	0.04878	0.15377	0.14109	0.11024	0.10549	0.11738	0.17832	0.2276	0.0977	0.2472	0.22249
AR	SF	1	AR	1	5	0.01443	0.05045	0.07177	0.07071	0.05803	0.01267	0.01998	0.11237	0.10762	0.07508	0.07142	0.07087	0.1141	0.13519	0.06553	0.16937	0.14985
